time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2019/04/28/14:58:03.379393,5344,1556456281,495037,gps,0,5,22.3010095,114.1791234,21.071,"(23.882768999999996, 0.0, 0.0, 0.0, 23.882768999999996, 0.0, 0.0, 0.0, 199.54387599999998)",2
2019/04/28/14:58:04.373302,5345,1556456282,494666,gps,0,5,22.3010042,114.1791205,18.966,"(24.344356, 0.0, 0.0, 0.0, 24.344356, 0.0, 0.0, 0.0, 203.66144100000002)",2
2019/04/28/14:58:05.387784,5346,1556456283,494297,gps,0,5,22.3009976,114.1791177,16.134,"(24.780483999999998, 0.0, 0.0, 0.0, 24.780483999999998, 0.0, 0.0, 0.0, 207.388801)",2
2019/04/28/14:58:06.373163,5347,1556456284,493927,gps,0,5,22.3009937,114.1791145,14.05,"(25.190361000000003, 0.0, 0.0, 0.0, 25.190361000000003, 0.0, 0.0, 0.0, 210.337009)",2
2019/04/28/14:58:07.394658,5348,1556456285,493556,gps,0,5,22.3009897,114.1791118,11.928,"(25.623844000000002, 0.0, 0.0, 0.0, 25.623844000000002, 0.0, 0.0, 0.0, 212.72222500000004)",2
2019/04/28/14:58:08.426433,5349,1556456286,493185,gps,0,5,22.3009859,114.179109,9.907,"(25.969216, 0.0, 0.0, 0.0, 25.969216, 0.0, 0.0, 0.0, 215.032896)",2
2019/04/28/14:58:09.372159,5350,1556456287,492816,gps,0,5,22.3009826,114.1791049,7.63,"(26.173455999999998, 0.0, 0.0, 0.0, 26.173455999999998, 0.0, 0.0, 0.0, 216.266436)",2
2019/04/28/14:58:10.380169,5351,1556456288,492445,gps,0,5,22.3009754,114.1791043,5.969,"(26.399044, 0.0, 0.0, 0.0, 26.399044, 0.0, 0.0, 0.0, 218.359729)",2
2019/04/28/14:58:11.387415,5352,1556456289,492074,gps,0,5,22.3009692,114.1791023,3.653,"(26.388768999999996, 0.0, 0.0, 0.0, 26.388768999999996, 0.0, 0.0, 0.0, 218.300625)",2
2019/04/28/14:58:12.403662,5353,1556456290,491703,gps,0,5,22.3009653,114.1790987,1.756,"(26.183689, 0.0, 0.0, 0.0, 26.183689, 0.0, 0.0, 0.0, 216.94344099999998)",2
