time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.status.status,.status.service,.latitude,.longitude,.altitude,.position_covariance,.position_covariance_type
2021/06/30/16:10:52.394295,1,1495524016,276365857,,0,0,55.3272623931,11.3883719931,69.5720004931,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:10:52.648332,2,1495524016,522294940,,0,0,55.3272622623,11.3883712623,69.5219999623,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:03.615843,3,1495524016,773827815,,0,0,55.3272640269,11.3883723269,69.5390013269,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:03.977999,4,1495524017,19981065,,0,0,55.3272637135,11.3883717135,69.5210009135,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:04.257156,5,1495524017,274253732,,0,0,55.3272623469,11.3883703469,69.4909995469,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:04.430431,6,1495524017,518179357,,0,0,55.3272627738,11.3883711738,69.5010000738,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:04.613337,7,1495524017,773176440,,0,0,55.3272621879,11.3883704879,69.4869992879,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:04.860259,8,1495524018,19403065,,0,0,55.3272634929,11.3883716929,69.5050003929,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:05.140086,9,1495524018,273897357,,0,0,55.3272645887,11.3883719887,69.6130009887,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:05.360251,10,1495524018,518771440,,0,0,55.32726385,11.38837145,69.67800025,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:05.631042,11,1495524018,775641274,,0,0,55.3272645483,11.3883719483,69.7290010483,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:05.871870,12,1495524019,21963232,,0,0,55.3272633338,11.3883702338,69.7559998338,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:06.116897,13,1495524019,272962357,,0,0,55.3272628981,11.3883699981,69.9119993981,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:06.357911,14,1495524019,517249732,,0,0,55.3272631932,11.3883700932,70.1489991932,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:06.644476,15,1495524019,773561149,,0,0,55.3272650333,11.3883717333,70.4380006333,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:06.876268,16,1495524020,19275524,,0,0,55.3272638977,11.3883706977,70.8139996977,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:07.139694,17,1495524020,272911816,,0,0,55.3272619639,11.3883689639,71.9019980639,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:07.493289,18,1495524020,517601232,,0,0,55.3272635482,11.3883709482,72.6119998482,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:07.620740,19,1495524020,779416982,,0,0,55.3272637278,11.3883717278,73.3380003278,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:08.286202,20,1495524021,18998482,,0,0,55.3272628981,11.3883716981,74.0419997981,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:09.705853,21,1495524021,274227274,,0,0,55.3272609563,11.3883716563,75.2419983563,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:09.796843,22,1495524021,520070274,,0,0,55.3272627767,11.3883746767,75.7790002767,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:10.111847,23,1495524021,776020024,,0,0,55.3272630198,11.3883757198,76.2520007198,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:10.458549,24,1495524022,19955358,,0,0,55.3272638959,11.3883772959,76.6980018959,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:11.057006,25,1495524022,277572316,,0,0,55.3272626728,11.3883768728,77.3010007728,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:11.533446,26,1495524022,518074899,,0,0,55.3272623622,11.3883760622,77.4630001622,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:11.617531,27,1495524022,774211733,,0,0,55.3272625423,11.3883756423,77.5830002423,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:12.265145,28,1495524023,21869358,,0,0,55.3272637632,11.3883762632,77.5700011632,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:12.804304,29,1495524023,275209108,,0,0,55.3272639016,11.3883747016,77.4860004016,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:13.291768,30,1495524023,518310399,,0,0,55.3272644269,11.3883743269,77.4330004269,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
2021/06/30/16:11:13.457993,31,1495524023,773773816,,0,0,55.3272642373,11.3883732373,77.3520000373,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0
