time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.gps_time,.temperatur,.pressure,.Time,.UtcTime.year,.UtcTime.month,.UtcTime.day,.UtcTime.hour,.UtcTime.minute,.UtcTime.second,.UtcTime.millisecond,.Week,.GpsFix,.NumSats,.LLA.x,.LLA.y,.LLA.z,.NedVel.x,.NedVel.y,.NedVel.z,.NedAcc.x,.NedAcc.y,.NedAcc.z,.SpeedAcc,.TimeAcc
2021/06/30/16:10:52.646686,792,1495524016,522294940,gps_link,1179559231.57,19.0058135986,101.218002319,199231.39998,17,5,23,7,20,16,399,1950,3,10,55.3272623,11.3883713,69.522,0.310000002384,-0.20000000298,-0.019999999553,8.70000076294,7.5,15.7199993134,0.576000034809,833342592.0
2021/06/30/16:11:03.614652,793,1495524016,773827815,gps_link,1179559231.82,19.0107192993,101.218002319,199231.599979,17,5,23,7,20,16,599,1950,3,10,55.3272627,11.388371,69.539,0.109999999404,-0.0900000035763,-0.280000001192,8.72558879852,7.52205944061,15.732000351,0.719999969006,833342592.0
2021/06/30/16:11:03.979247,794,1495524017,19981065,gps_link,1179559232.07,19.01197052,101.218002319,199231.799979,17,5,23,7,20,16,799,1950,3,10,55.3272628,11.3883708,69.521,0.0500000007451,-0.0799999982119,-0.00999999977648,8.72558879852,7.52205944061,15.75,0.496000021696,833342592.0
2021/06/30/16:11:04.256319,795,1495524017,274253732,gps_link,1179559232.32,19.015411377,101.23400116,199232.199978,17,5,23,7,20,17,199,1950,3,10,55.3272628,11.3883708,69.491,-0.109999999404,0.140000000596,-0.10000000149,8.75117588043,7.54411792755,15.7919998169,0.600000023842,833342592.0
2021/06/30/16:11:04.430330,796,1495524017,518179357,gps_link,1179559232.57,19.0194511414,101.222007751,199232.399978,17,5,23,7,20,17,399,1950,3,10,55.3272627,11.3883711,69.501,-0.019999999553,-0.0399999991059,-0.270000010729,8.75117588043,7.54411792755,15.8099994659,0.759999990463,833342592.0
2021/06/30/16:11:04.612660,797,1495524017,773176440,gps_link,1179559232.82,19.0200500488,101.222007751,199232.599977,17,5,23,7,20,17,599,1950,3,10,55.3272629,11.3883712,69.487,0.119999997318,0.0299999993294,-0.0900000035763,8.77676391602,7.56617641449,15.8339996338,0.65600001812,833342592.0
2021/06/30/16:11:04.859565,798,1495524018,19403065,gps_link,1179559233.07,19.0227680206,101.222007751,199232.799977,17,5,23,7,20,17,799,1950,3,10,55.3272631,11.3883713,69.505,0.0299999993294,-0.0399999991059,-0.310000002384,8.77676391602,7.56617641449,15.8519992828,0.744000017643,833342592.0
2021/06/30/16:11:05.139718,799,1495524018,273897357,gps_link,1179559233.32,19.0278072357,101.23400116,199233.199976,17,5,23,7,20,18,199,1950,3,10,55.3272636,11.388371,69.613,0.109999999404,0.019999999553,-0.569999992847,8.80235290527,7.58823537827,15.8939990997,0.752000033855,833342592.0
2021/06/30/16:11:05.359191,800,1495524018,518771440,gps_link,1179559233.57,19.0313339233,101.257003784,199233.399976,17,5,23,7,20,18,399,1950,3,10,55.3272636,11.3883712,69.678,-0.15000000596,-0.00999999977648,-0.52999997139,8.80235290527,7.58823537827,15.9060001373,0.736000001431,833342592.0
2021/06/30/16:11:05.630960,801,1495524018,775641274,gps_link,1179559233.82,19.0372333527,101.273002625,199233.599975,17,5,23,7,20,18,599,1950,3,10,55.3272635,11.3883709,69.729,-0.0599999986589,-0.180000007153,-0.449999988079,8.82794094086,7.6102938652,15.9300003052,0.728000044823,833342592.0
2021/06/30/16:11:05.870975,802,1495524019,21963232,gps_link,1179559234.07,19.0416870117,101.261001587,199233.799975,17,5,23,7,20,18,799,1950,3,10,55.3272635,11.3883704,69.756,-0.00999999977648,-0.209999993443,-0.379999995232,8.82794094086,7.6102938652,15.9479999542,0.680000007153,833342592.0
2021/06/30/16:11:06.115575,803,1495524019,272962357,gps_link,1179559234.32,19.0429878235,101.227005005,199234.199974,17,5,23,7,20,19,199,1950,3,10,55.3272635,11.3883706,69.912,0.180000007153,0.0299999993294,-1.19000005722,8.85352897644,7.63235282898,16.0020008087,0.824000000954,833342592.0
2021/06/30/16:11:06.356995,804,1495524019,517249732,gps_link,1179559234.57,19.042093277,101.20400238,199234.399974,17,5,23,7,20,19,399,1950,3,10,55.327264,11.3883709,70.149,0.239999994636,0.10000000149,-1.40999996662,8.85352897644,7.63235282898,16.0260009766,0.791999995708,833342592.0
2021/06/30/16:11:06.643913,805,1495524019,773561149,gps_link,1179559234.82,19.049955368,101.20400238,199234.599973,17,5,23,7,20,19,599,1950,3,10,55.3272644,11.3883711,70.438,-0.0900000035763,-0.019999999553,-1.70000004768,8.85352897644,7.63235282898,16.0380001068,0.815999984741,833342592.0
